AGE,POPESTIMATE2015
40,3974207
41,3849420
42,3907624
43,4083603
44,4317303
45,4370889
46,4141473
47,4055026
48,4059493
49,4134729
50,4382781
51,4462439
52,4458057
53,4447571
54,4500647
55,4538426
56,4383906
57,4355992
58,4305620
59,4149572
60,4113021
61,3942013
62,3790340
63,3640760
64,3526596
65,3442274
66,3335226
67,3296079
68,3430360
69,2527153
70,2486735
71,2414508
72,2464193
73,2141679
74,1950011
75,1836257
76,1718782
77,1636558
78,1498697
79,1420533
80,1350403
81,1200285
82,1148211
83,1081259
84,1013571
85,954754
86,843278
87,771721
88,687162
89,594409
90,520830
91,438629
92,359436
93,292695
94,232294
95,173061
96,122361
97,92105
98,61601
99,43288
100,75472